RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
129,0,33141,Keegan Bradley,57.14%,128,96
130,0,32757,Patton Kizzire,57.06%,101,76
131,0,51287,Ryo Hisatsune,57.02%,138,104
132,0,34021,Bud Cauley,56.99%,106,80
133,0,25493,Nick Taylor,56.73%,118,90
134,0,50582,Jeremy Paul,56.55%,95,73
135,0,55182,Tom Kim,55.98%,131,103
136,0,58933,Will Chandler,55.91%,104,82
137,0,60004,Jacob Bridgeman,55.86%,143,113
138,0,27644,Brian Harman,55.75%,126,100
138,0,52666,Sami Valimaki,55.75%,126,100
140,0,31646,Emiliano Grillo,55.65%,133,106
141,0,33204,Shane Lowry,55.49%,101,81
142,0,34466,Peter Malnati,55.32%,104,84
143,0,59866,Nick Dunlap,55.29%,115,93
144,0,35658,Kris Ventura,55.14%,118,96
145,0,55789,Taylor Montgomery,55.06%,87,71
146,0,47347,Adam Schenk,54.89%,101,83
147,0,35532,Tom Hoge,54.88%,135,111
148,0,29936,Ryan Fox,54.84%,102,84
149,0,51890,Greyson Sigg,54.64%,106,88
150,0,55708,Hayden Buckley,54.62%,71,59
151,0,37378,Min Woo Lee,54.49%,97,81
152,0,47591,Eric Cole,54.08%,159,135
153,0,28252,Seamus Power,53.21%,116,102
154,0,33653,Thomas Detry,53.15%,118,104
155,0,55623,Kaito Onishi,53.08%,69,61
156,0,47983,Chad Ramey,52.91%,109,97
157,0,34076,Joel Dahmen,52.66%,99,89
158,0,40162,Justin Lower,51.96%,106,98
159,0,39859,Cristobal Del Solar,51.85%,84,78
160,0,59160,John Pak,51.69%,92,86
161,0,51690,Taylor Dickson,51.28%,80,76
162,0,40058,Zac Blair,50.82%,62,60
163,0,36326,David Lipsky,50.54%,93,91
164,0,52370,Mason Andersen,50.00%,74,74
164,0,47917,Takumi Kanaya,50.00%,86,86
166,0,52144,Braden Thornberry,49.32%,72,74
167,0,49590,Frankie Capan III,48.59%,86,91
168,0,29535,Brice Garnett,48.40%,91,97
169,0,55165,Noah Goodwin,48.21%,81,87
170,0,27770,Camilo Villegas,48.07%,87,94
171,0,25900,Lucas Glover,46.94%,92,104
172,0,34098,Russell Henley,45.45%,90,108
173,0,34256,Andrew Putnam,45.03%,86,105
174,0,27649,Brandt Snedeker,40.91%,72,104
175,0,33199,Matteo Manassero,38.89%,49,77
176,0,23108,Matt Kuchar,38.46%,70,112
177,0,45522,Christiaan Bezuidenhout,38.24%,91,147
178,0,36824,Paul Peterson,37.67%,55,91
179,0,46443,Brian Campbell,34.57%,56,106
180,0,24024,Zach Johnson,33.59%,43,85
