RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
112,0,27644,Brian Harman,-0.015,-1.175,78
113,0,58619,Kevin Velo,-0.017,-0.782,47
114,0,36801,Mark Hubbard,-0.020,-1.588,80
115,0,47056,Rikuya Hoshino,-0.022,-0.673,30
116,0,23320,Ryan Palmer,-0.027,-1.113,42
117,0,39327,Ben Silverman,-0.034,-2.115,63
118,0,29535,Brice Garnett,-0.043,-2.637,61
118,0,54607,Danny Walker,-0.043,-2.172,51
120,0,29936,Ryan Fox,-0.047,-3.003,64
121,0,51349,Nico Echavarria,-0.058,-3.919,68
122,0,57975,Harry Hall,-0.069,-5.834,84
123,0,51977,Max Greyserman,-0.074,-5.642,76
124,0,35310,Lanto Griffin,-0.075,-4.339,58
125,0,64693,Matthew Riedel,-0.083,-3.966,48
126,0,60004,Jacob Bridgeman,-0.087,-7.518,86
127,0,58933,Will Chandler,-0.090,-5.294,59
128,0,29725,Tony Finau,-0.092,-5.689,62
129,0,60067,Joe Highsmith,-0.098,-6.878,70
130,0,40162,Justin Lower,-0.100,-6.585,66
131,0,50582,Jeremy Paul,-0.102,-5.493,54
132,0,28775,Nate Lashley,-0.105,-4.946,47
133,0,60019,Jackson Suber,-0.136,-8.298,61
134,0,33399,Adam Hadwin,-0.146,-11.129,76
135,0,51634,Sahith Theegala,-0.158,-9.296,59
136,0,48887,Matt Wallace,-0.163,-8.986,55
137,0,33413,Ben Martin,-0.169,-7.448,44
138,0,59143,Mac Meissner,-0.170,-12.240,72
139,0,32839,Hideki Matsuyama,-0.171,-12.460,73
140,0,34587,Chan Kim,-0.195,-12.275,63
141,0,37275,Sam Ryder,-0.198,-15.021,76
142,0,55182,Tom Kim,-0.204,-15.088,74
143,0,35506,Mackenzie Hughes,-0.205,-16.599,81
144,0,27139,David Skinns,-0.210,-12.401,59
145,0,40115,Adam Svensson,-0.253,-15.909,63
